id;nom;controleur;action
1;;Affectation;default
2;;Affectation;update
3;;Attribution;default
4;;Attribution;update
5;;Droit;default
6;;Droit;create
7;;Droit;read
8;;Droit;update
9;;Droit;delete
10;;Groupe;default
11;;Groupe;create
12;;Groupe;read
13;;Groupe;update
14;;Groupe;delete
15;;Session;default
16;;Session;read
17;;Session;open
18;;Tentative;default
19;;Tentative;read
20;;Utilisateur;default
21;;Utilisateur;create
22;;Utilisateur;read
23;;Utilisateur;update
24;;Utilisateur;delete
25;;Utilisateur;activate
26;;Utilisateur;desactivate
